*.uuid,*.event,*.properties.api,*.properties.$lib_version,*.properties.platform,*.properties.database,*.properties.auth,*.properties.$geoip_disable,*.properties.backend,*.properties.packageManager,*.properties.$lib,*.properties.dbSetup,*.properties.addons.0,*.properties.addons.1,*.properties.addons.2,*.properties.node_version,*.properties.runtime,*.properties.git,*.properties.orm,*.properties.cli_version,*.properties.install,*.properties.frontend.0,*.properties.$sent_at,*.properties.$transformations_succeeded.0,*.properties.$transformations_succeeded.1,*.timestamp,*.team_id,*.distinct_id,*.elements_chain,*.created_at,*.properties.examples.0,*.properties.examples.1,*.properties.addons.3,*.properties.frontend.1,*.properties.addons.4,*.properties.addons.5,*.properties.$ip,*.properties.timestamp,*.properties.projectDir,*.properties.projectName,*.properties.relativePath,event,person_display_name -- Person.display_name,person_display_name -- Person.id,"coalesce(properties.$current_url, properties.$screen_name) -- Url / Screen",properties.$lib,timestamp
01971b34-f913-74d0-ac0f-ee4dd946c0f6,project_created,none,4.18.0,linux,none,False,True,none,pnpm,posthog-node,none,biome,husky,turborepo,v23.6.1,none,True,none,2.14.1,True,,2025-05-29T08:42:25.939Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 08:42:22.629000+00:00,162968,cli_07d623b39928496fa242c9a426ed752d,,2025-05-29 08:42:25.617000+00:00,,,,,,,,,,,,project_created,cli_07d623b39928496fa242c9a426ed752d,b7b4d1ce-c5d3-5c13-94c0-163f1197d77b,,posthog-node,2025-05-29 08:42:22.629000+00:00
01971b29-3522-7f36-a2c5-78ca79e144a2,project_created,trpc,4.18.0,darwin,postgres,True,True,hono,pnpm,posthog-node,none,turborepo,,,v22.14.0,node,True,drizzle,2.14.1,True,tanstack-start,2025-05-29T08:29:34.882Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 08:29:35.213000+00:00,162968,cli_c9486aa45c1f4d4dbd305bbc4517ff86,,2025-05-29 08:29:35.525000+00:00,todo,,,native-nativewind,,,,,,,,project_created,cli_c9486aa45c1f4d4dbd305bbc4517ff86,8aa08313-af48-5d54-b394-8c0fad59c79c,,posthog-node,2025-05-29 08:29:35.213000+00:00
01971b21-df42-7f7e-a3b3-9d895705e18e,project_created,trpc,4.18.0,darwin,mongodb,False,True,next,bun,posthog-node,none,turborepo,,,v23.11.0,bun,True,prisma,2.14.1,True,next,2025-05-29T08:21:34.146Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 08:21:34.838000+00:00,162968,cli_abaa694873024fe387417c6d3fbc638a,,2025-05-29 08:21:35.031000+00:00,,,,,,,,,,,,project_created,cli_abaa694873024fe387417c6d3fbc638a,a41d7102-fc3d-5757-8d8b-49a7fd18841c,,posthog-node,2025-05-29 08:21:34.838000+00:00
01971ae5-883c-7eff-aa13-6291bf63f415,project_created,orpc,4.18.0,linux,postgres,True,True,express,npm,posthog-node,none,turborepo,,,v22.14.0,node,True,drizzle,2.14.1,False,svelte,2025-05-29T07:15:39.708Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 07:15:40.340000+00:00,162968,cli_bf5828f798a1497fbd0b8058a41c7efa,,2025-05-29 07:15:42.035000+00:00,todo,ai,,,,,,,,,,project_created,cli_bf5828f798a1497fbd0b8058a41c7efa,9cce6c0e-2fc4-5c74-9344-cc567d3f644f,,posthog-node,2025-05-29 07:15:40.340000+00:00
01971ae2-fd7d-7cb7-83b3-5a098cce1ac0,project_created,none,4.18.0,darwin,postgres,True,True,hono,bun,posthog-node,none,husky,pwa,starlight,v22.14.0,bun,True,drizzle,2.14.1,True,next,2025-05-29T07:12:53.117Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 07:12:54.024000+00:00,162968,cli_a96ce386ce3b4b5c8309493d78ec3c48,,2025-05-29 07:12:54.272000+00:00,,,turborepo,native-nativewind,,,,,,,,project_created,cli_a96ce386ce3b4b5c8309493d78ec3c48,d5f110c1-12f9-547a-8fb7-54b595826ded,,posthog-node,2025-05-29 07:12:54.024000+00:00
01971abd-69b8-753d-983a-1d903296669b,project_created,orpc,4.18.0,darwin,postgres,True,True,hono,bun,posthog-node,none,biome,husky,turborepo,v23.9.0,bun,False,prisma,2.14.1,False,,2025-05-29T06:31:50.456Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 06:31:51.336000+00:00,162968,cli_fefee43476cf4c1f8dfb8b3a8e086454,,2025-05-29 06:31:52.089000+00:00,,,,,,,,,,,,project_created,cli_fefee43476cf4c1f8dfb8b3a8e086454,e77ba335-38ab-5151-9a24-7d4b73623c58,,posthog-node,2025-05-29 06:31:51.336000+00:00
01971aa2-89b9-73d7-baa0-d5d9ad3ec2d2,project_created,orpc,4.18.0,darwin,sqlite,True,True,hono,bun,posthog-node,none,biome,,,v22.13.1,bun,True,drizzle,2.14.1,True,tanstack-start,2025-05-29T06:02:29.177Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 06:02:37.897000+00:00,162968,cli_80cbfb4b92b949488e4f78d4c753af09,,2025-05-29 06:02:38.456000+00:00,ai,,,native-unistyles,,,,,,,,project_created,cli_80cbfb4b92b949488e4f78d4c753af09,00cb469b-f19e-5cb1-8fbc-6477c266f2f7,,posthog-node,2025-05-29 06:02:37.897000+00:00
01971a9c-060d-77e2-aaeb-08cf24236f00,project_created,orpc,4.18.0,win32,postgres,True,True,hono,bun,posthog-node,none,biome,husky,starlight,v20.19.0,node,True,prisma,2.14.1,True,next,2025-05-29T05:55:22.254Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 05:55:56.147000+00:00,162968,cli_9af8c6c52d4249ecbddd7d0fa6d56f24,,2025-05-29 05:55:56.372000+00:00,,,turborepo,native-nativewind,,,,,,,,project_created,cli_9af8c6c52d4249ecbddd7d0fa6d56f24,b11bea08-d603-5ce2-86ce-419b18f77ac1,,posthog-node,2025-05-29 05:55:56.147000+00:00
01971a9a-3847-7455-ac6c-26c39b8f2955,project_created,orpc,4.18.0,win32,postgres,True,True,hono,bun,posthog-node,none,biome,husky,starlight,v20.19.0,node,True,prisma,2.14.1,True,next,2025-05-29T05:53:24.039Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 05:53:57.902000+00:00,162968,cli_8635aa6808054b66ae10dc20b76c2773,,2025-05-29 05:53:58.059000+00:00,,,turborepo,native-nativewind,,,,,,,,project_created,cli_8635aa6808054b66ae10dc20b76c2773,5712c374-0c8c-5cd2-ae17-fba399f35d0f,,posthog-node,2025-05-29 05:53:57.902000+00:00
01971a8c-c420-7211-b7a4-c887b9976850,project_created,orpc,4.18.0,win32,postgres,True,True,hono,bun,posthog-node,none,pwa,,,v22.15.0,bun,False,drizzle,2.14.1,True,next,2025-05-29T05:38:42.337Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-29 05:38:42.778000+00:00,162968,cli_22ba065c8f75409197470dc0abcb1ab1,,2025-05-29 05:38:43.211000+00:00,,,,,,,,,,,,project_created,cli_22ba065c8f75409197470dc0abcb1ab1,89eb61f6-2d4c-55c1-8022-744077c05e7a,,posthog-node,2025-05-29 05:38:42.778000+00:00
